"ID","Herbarium.Accession.No.","Fungal.species","Fungal.clade","Algal.clade","Site","Substrate","Major.medullary.compound","Reproductive.mode","Mycobiont.Taxon","DNA.ID","Origin","GenBank.Accession.#","Lat","Long"
13,"BRY-C55163","X. norchlorochroa","E2","‘T. BMP 1’",3,"soil","salazinic","fragmentation","X. aff. norchlorochroa","13","USA, Utah, BMP","KF026233","38.132","-111.470"
14,"BRY-C55164","X. chlorochroa","E2","‘T. BMP 1’",3,"soil","salazinic","fragmentation","X. aff. chlorochroa","14","USA, Utah, BMP","KF026234","38.132","-111.470"
15,"BRY-C55165","X. chlorochroa","E2","‘T. BMP 5’",3,"soil","salazinic","fragmentation","X. aff. chlorochroa","15","USA, Utah, BMP","KF026235","38.132","-111.470"
16,"BRY-C55166","X. chlorochroa","E2","‘T. BMP 4’",1,"soil","salazinic","fragmentation","X. aff. chlorochroa","16","USA, Utah, BMP","KF026236","38.145","-111.536"
17,"BRY-C55167","X. coloradoënsis","E2","‘T. BMP 5’",1,"rock","salazinic","not observed","X. aff. coloradoënsis","17","USA, Utah, BMP","KF026237","38.145","-111.536"
18,"BRY-C55168","X. coloradoënsis","E3","‘T. BMP 4’",1,"rock","salazinic","not observed","X. aff. coloradoënsis","18","USA, Utah, BMP","KF026238","38.145","-111.536"
19,"BRY-C55169","X. coloradoënsis","E3","‘T. BMP 4’",1,"rock","salazinic","not observed","X. aff. coloradoënsis","19","USA, Utah, BMP","KF026239","38.145","-111.536"
22,"BRY-C55171","X. coloradoënsis","E1","‘T. BMP 1’",3,"rock","salazinic","not observed","X. aff. coloradoënsis","22","USA, Utah, BMP","KF026240","38.132","-111.470"
23,"BRY-C55172","X. coloradoënsis","E3","‘T. BMP 5’",3,"rock","salazinic","not observed","X. aff. coloradoënsis","23","USA, Utah, BMP","KF026241","38.132","-111.470"
24,"BRY-C55173","X. cumberlandia","E1","‘T. BMP 1’",1,"rock","stictic","not observed","X. aff. cumberlandia","24","USA, Utah, BMP","KF026242","38.145","-111.536"
26,"BRY-Leavitt 026","X. coloradoënsis","unknown","‘T. impressa’",1,"rock*","salazinic","not observed","X. aff. coloradoënsis","26","USA, Utah, BMP","KF026243","38.145","-111.536"
27,"BRY-C55175","X. chlorochroa","E2","‘T. BMP 1’",3,"soil","salazinic","fragmentation","X. aff. chlorochroa","27","USA, Utah, BMP","KF026244","38.132","-111.470"
28,"BRY-C55176","X. chlorochroa","E2","‘T. BMP 5’",1,"soil","salazinic","fragmentation","X. aff. chlorochroa","28","USA, Utah, BMP","KF026245","38.145","-111.536"
29,"BRY-C55177","X. cumberlandia*","E1","‘T. BMP 5’",2,"rock*","stictic","not observed","X. aff. cumberlandia*","29","USA, Utah, BMP","KF026246","38.121","-111.508"
