Taxon,ID,Voucher,Plot,Location,,Lat. ,,Lon.,Ele.,Collector(s),Source
R. melanophthalma,708f,BRY C55055,-,"USA, ID, Lemhi Co.: Salmon Challis National Forest",44.56022,,-113.3507,,1194 m,EA 41-403,this study
R. melanophthalma,720f,BRY C55056,-,"USA, WY, Johnson Co.:  west of Buffalo ",44.33849,,-106.7656,,1581 m,SDL,this study
R. melanophthalma,721f,BRY C55057,-,"USA, WY, Fremont Co.:  Wind River Mountains",42.73869,,-108.8352,,2122 m,SDL,this study
R. melanophthalma,722f,BRY C55058,-,"USA, UT, Uintah Co.: Snake John Reef ",40.29259,,-109.1208,,1631 m,"SDL, LLS, GS",this study
R. melanophthalma,724f,BRY C55059,-,"USA, UT, Uintah Co.: Snake John Reef ",40.29259,,-109.1208,,1631 m,"SDL, LLS, GS",this study
R. melanophthalma,725f,BRY C55060,-,"USA, UT, Duchesne Co.:  Pinyon Ridge Rest Area",40.20385,,-110.7108,,2055 m,"SDL, LLS, GS",this study
R. melanophthalma,-,AF159929,-,"USA, Arizona",-,,-,,-,-,Arup and Grub 2000
R. melanophthalma,-,AF159934,-,"USA, Arizona",-,,-,,-,-,Arup and Grub 2000
R. melanophthalma,-,AF159935,-,Austria,-,,-,,-,-,Arup and Grub 2000
R. melanophthalma,-,AY509791,-,"China, Xianjiang Province",-,,-,,-,-,Zhou et al. 2006
R. melanophthalma,-,EF095282 (ITS only),-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,-,EF095286 (ITS only),-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,-,EF095297,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,543f,BRY C55061,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,544f,BRY C55062,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,571f,BRY C55063,BM-3,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.1626,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,572f,BRY C55064,BM-3,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.1626,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,586f,BRY C55065,BM-3,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.1626,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
